0,2,2,11,2023-04-06_08-36-39
1,5,5,27,2023-04-06_08-40-07
2,5,5,80,2023-04-06_08-41-57
3,5,5,27,2023-04-06_08-42-33
4,1,1,4,2023-04-06_16-51-53
5,0,0,3,2023-04-06_16-53-05
